276        0.03246152
276        0.01976072
276        0.022281605
276        0.006809445
276        0.01793618
458        0.00232562
459        0.04257362
460        0.0383645
460        0.008192
460        0.04879688
505        0.04657352
510        0.00010082
510        3.92e-06
510        6.728e-05
511        9.9405e-05
585        2e-08
586        4.205e-06
587        5e-07
597        8.405e-06
598        2e-08
598        6.05e-07
599        4.805e-06
611        8.45e-07
611        3.125e-06
612        1.62e-06
751        0.0015125
751        0.00175232
751        0.001806005
752        0.05752832
752        0.00916658
765        3.698e-05
765        2.45e-07
765        4.805e-06
792        2.888e-05
793        2.88e-06
794        4.5e-08
794        3.645e-06
805        0.016182005
805        0.000788045
805        0.000886205
806        0.013300805
806        0.008385125
835        1.62e-06
836        8e-08
838        3.2e-07
869        3.2e-07
870        6.05e-07
871        5e-09
1113        2.88e-06
1113        0
1113        8e-08
1114        6.05e-07
1156        0.00038642
1156        0.000136125
1156        0.01011042
1157        0.00895122
1158        0.00024642
1321        0.00392498
1322        9.68e-06
1323        0.00056448
1324        8e-08
1324        0.003337445
1339        1.445e-06
1339        9.3845e-05
1339        1.28e-06
1366        8.45e-07
1366        2e-06
1367        1.125e-06
1368        8e-08
1430        2.45e-07
1430        1.62e-06
1431        4.05e-07
1505        0.000335405
1506        0.04129938
1506        0.00349448
1507        0.02719112
1508        3.2e-07
1561        0.090738
1588        9.8e-07
1588        1.28e-06
1588        0.00011552
1589        2.178e-05
1672        0.012529445
1672        0.006039005
1668        0.039228005
1672        0.000378125
1672        0.00347778
